sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
1,10,0.0,0.0,0.3,0.3,0.7,CC,,0.5
1,10,0.0,0.0,0.13,0.13,0.9,ACC,,0.81
1,10,0.0,0.0,0.19,0.19,0.8,X,,0.75
1,10,0.0,0.0,0.13,0.13,0.9,MAX,,0.81
1,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
1,10,0.0,0.0,0.07,0.07,0.9,MS,,0.81
1,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.88
1,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.88
1,10,0.0,0.0,0.08,0.08,0.9,SORD,,0.81
1,10,0.0,0.0,0.21,0.21,0.8,SMM,,0.75
2,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.75
2,10,0.0,0.0,0.04,0.04,1.0,X,,0.75
2,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.75
2,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
2,10,0.0,0.0,0.0,0.0,1.0,MS,,0.75
2,10,0.0,0.0,0.01,0.01,1.0,HDy,,0.75
2,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.75
2,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.75
2,10,0.0,0.0,0.08,0.08,0.9,SMM,,0.64
3,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.88
3,10,0.0,0.0,0.0,0.0,1.0,X,,0.88
3,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.88
3,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
3,10,0.0,0.0,0.0,0.0,1.0,MS,,0.88
3,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.88
3,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.88
3,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.88
3,10,0.0,0.0,0.17,0.17,0.8,SMM,,0.47
4,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.88
4,10,0.0,0.0,0.0,0.0,1.0,X,,0.88
4,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.88
4,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
4,10,0.0,0.0,0.0,0.0,1.0,MS,,0.88
4,10,0.0,0.0,0.05,0.05,0.9,HDy,,0.5
4,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.88
4,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.88
4,10,0.0,0.0,0.13,0.13,0.9,SMM,,0.5
5,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.97
5,10,0.0,0.0,0.04,0.04,1.0,X,,0.97
5,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.97
5,10,0.0,0.0,0.15,0.15,0.9,T50,,0.75
5,10,0.0,0.0,0.02,0.02,1.0,MS,,0.97
5,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.97
5,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.97
5,10,0.0,0.0,0.03,0.03,1.0,SORD,,0.97
5,10,0.0,0.0,0.13,0.13,0.9,SMM,,0.75
6,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.94
6,10,0.0,0.0,0.0,0.0,1.0,X,,0.94
6,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.94
6,10,0.0,0.0,0.15,0.15,0.9,T50,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,MS,,0.94
6,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.94
6,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.94
6,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.94
6,10,0.0,0.0,0.12,0.12,0.9,SMM,,0.5
7,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.98
7,10,0.0,0.0,0.04,0.04,1.0,X,,0.98
7,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.98
7,10,0.0,0.0,0.15,0.15,0.9,T50,,0.88
7,10,0.0,0.0,0.1,0.1,0.9,MS,,0.88
7,10,0.0,0.0,0.16,0.16,0.8,HDy,,0.5
7,10,0.0,0.0,0.13,0.13,0.9,DyS,,0.88
7,10,0.0,0.0,0.09,0.09,0.9,SORD,,0.88
7,10,0.0,0.0,0.24,0.24,0.8,SMM,,0.5
8,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
8,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.88
8,10,0.0,0.0,0.04,0.04,1.0,X,,0.88
8,10,0.0,0.0,0.13,0.13,0.9,MAX,,0.78
8,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
8,10,0.0,0.0,0.06,0.06,0.9,MS,,0.78
8,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.88
8,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.88
8,10,0.0,0.0,0.07,0.07,0.9,SORD,,0.78
8,10,0.0,0.0,0.22,0.22,0.8,SMM,,0.5
9,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
9,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.97
9,10,0.0,0.0,0.0,0.0,1.0,X,,0.97
9,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.97
9,10,0.0,0.0,0.15,0.15,0.9,T50,,0.5
9,10,0.0,0.0,0.0,0.0,1.0,MS,,0.97
9,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.97
9,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.97
9,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.97
9,10,0.0,0.0,0.1,0.1,0.9,SMM,,0.5
10,10,0.0,0.0,0.5,0.5,0.5,CC,,0.5
10,10,0.0,0.0,0.43,0.43,0.6,ACC,,0.56
10,10,0.0,0.0,0.19,0.19,0.8,X,,0.88
10,10,0.0,0.0,0.43,0.43,0.6,MAX,,0.56
10,10,0.0,0.0,0.15,0.15,0.9,T50,,0.91
10,10,0.0,0.0,0.31,0.31,0.7,MS,,0.75
10,10,0.0,0.0,0.07,0.07,0.9,HDy,,0.91
10,10,0.0,0.0,0.08,0.08,0.9,DyS,,0.91
10,10,0.0,0.0,0.32,0.32,0.7,SORD,,0.75
10,10,0.0,0.0,0.38,0.38,0.6,SMM,,0.56
1,10,0.05,0.0,0.3,0.3,0.7,CC,,0.5
1,10,0.05,0.0,0.13,0.13,0.9,ACC,,0.75
1,10,0.05,0.0,0.04,0.04,1.0,X,,0.94
1,10,0.05,0.0,0.13,0.13,0.9,MAX,,0.75
1,10,0.05,0.0,0.15,0.15,0.9,T50,,0.75
1,10,0.05,0.0,0.05,0.05,1.0,MS,,0.94
1,10,0.05,0.0,0.11,0.11,0.9,HDy,,0.75
1,10,0.05,0.0,0.09,0.09,0.9,DyS,,0.75
1,10,0.05,0.0,0.04,0.04,1.0,SORD,,0.94
1,10,0.05,0.0,0.21,0.21,0.8,SMM,,0.56
2,10,0.05,0.0,0.2,0.2,0.8,CC,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.97
2,10,0.05,0.0,0.04,0.04,1.0,X,,0.97
2,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.97
2,10,0.05,0.0,0.15,0.15,0.9,T50,,0.75
2,10,0.05,0.0,0.04,0.04,1.0,MS,,0.97
2,10,0.05,0.0,0.04,0.04,1.0,HDy,,0.97
2,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.97
2,10,0.05,0.0,0.04,0.04,1.0,SORD,,0.97
2,10,0.05,0.0,0.2,0.2,0.8,SMM,,0.5
3,10,0.05,0.0,0.3,0.3,0.7,CC,,0.5
