sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
1,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
1,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
1,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
1,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
2,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
2,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
2,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
3,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
3,10,0.0,0.0,0.03,0.03,1.0,DyS,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
3,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
4,10,0.0,0.0,0.04,0.04,1.0,HDy,,0.5
4,10,0.0,0.0,0.03,0.03,1.0,DyS,,0.5
4,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
4,10,0.0,0.0,0.02,0.02,1.0,SMM,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
5,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
5,10,0.0,0.0,0.03,0.03,1.0,DyS,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
5,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
6,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
6,10,0.0,0.0,0.03,0.03,1.0,DyS,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
6,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
7,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
7,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
7,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
8,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
8,10,0.0,0.0,0.11,0.11,0.9,ACC,,0.5
8,10,0.0,0.0,0.0,0.0,1.0,X,,0.75
8,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.75
8,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
8,10,0.0,0.0,0.04,0.04,1.0,MS,,0.75
8,10,0.0,0.0,0.04,0.04,1.0,HDy,,0.75
8,10,0.0,0.0,0.04,0.04,1.0,DyS,,0.75
8,10,0.0,0.0,0.05,0.05,0.9,SORD,,0.5
8,10,0.0,0.0,0.08,0.08,0.9,SMM,,0.5
9,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
9,10,0.0,0.0,0.25,0.25,0.8,ACC,,0.5
9,10,0.0,0.0,0.12,0.12,0.9,X,,0.56
9,10,0.0,0.0,0.12,0.12,0.9,MAX,,0.56
9,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
9,10,0.0,0.0,0.11,0.11,0.9,MS,,0.56
9,10,0.0,0.0,0.04,0.04,1.0,HDy,,0.75
9,10,0.0,0.0,0.03,0.03,1.0,DyS,,0.75
9,10,0.0,0.0,0.12,0.12,0.9,SORD,,0.56
9,10,0.0,0.0,0.12,0.12,0.9,SMM,,0.56
10,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
10,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.5
10,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
10,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
1,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
1,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.5
1,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
1,10,0.05,0.0,0.01,0.01,1.0,SMM,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
2,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
2,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
2,10,0.05,0.0,0.0,0.0,1.0,SMM,,0.5
3,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
3,10,0.05,0.0,0.11,0.11,0.9,ACC,,0.5
3,10,0.05,0.0,0.0,0.0,1.0,X,,0.75
3,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.75
3,10,0.05,0.0,0.0,0.0,1.0,T50,,0.75
3,10,0.05,0.0,0.0,0.0,1.0,MS,,0.75
3,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.75
3,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.75
3,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.75
3,10,0.05,0.0,0.05,0.05,1.0,SMM,,0.75
4,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
4,10,0.05,0.0,0.11,0.11,0.9,ACC,,0.5
4,10,0.05,0.0,0.12,0.12,0.9,X,,0.5
4,10,0.05,0.0,0.12,0.12,0.9,MAX,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,T50,,0.75
4,10,0.05,0.0,0.0,0.0,1.0,MS,,0.75
4,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.75
4,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.75
4,10,0.05,0.0,0.06,0.06,0.9,SORD,,0.5
4,10,0.05,0.0,0.07,0.07,0.9,SMM,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
5,10,0.05,0.0,0.05,0.05,1.0,HDy,,0.5
5,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,SMM,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
6,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
6,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.5
