sample,Test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier
1,10,0.0,0.0,0.1,0.1,0.9,CC
1,10,0.0,0.0,0.28,0.28,0.8,PCC
1,10,0.0,0.0,0.19,0.19,0.8,PACC
1,10,0.0,0.0,0.02,0.02,0.9,X
1,10,0.0,0.0,0.01,0.01,0.9,MAX
1,10,0.0,0.0,0.1,0.1,0.9,HDy
1,10,0.0,0.0,0.05,0.05,0.9,DyS
1,10,0.0,0.0,0.19,0.19,0.8,SMM
2,10,0.0,0.0,0.2,0.2,0.8,CC
2,10,0.0,0.0,0.1,0.1,0.9,ACC
2,10,0.0,0.0,0.38,0.38,0.6,PCC
2,10,0.0,0.0,0.31,0.31,0.6,PACC
2,10,0.0,0.0,0.14,0.14,0.8,X
2,10,0.0,0.0,0.13,0.13,0.8,MAX
2,10,0.0,0.0,0.17,0.17,0.8,MS
2,10,0.0,0.0,0.15,0.15,0.8,HDy
2,10,0.0,0.0,0.13,0.13,0.8,DyS
2,10,0.0,0.0,0.15,0.15,0.8,SORD
2,10,0.0,0.0,0.32,0.32,0.6,SMM
3,10,0.0,0.0,0.2,0.2,0.8,CC
3,10,0.0,0.0,0.1,0.1,0.9,ACC
3,10,0.0,0.0,0.28,0.28,0.8,PCC
3,10,0.0,0.0,0.19,0.19,0.9,PACC
3,10,0.0,0.0,0.14,0.14,0.9,X
3,10,0.0,0.0,0.13,0.13,0.9,MAX
3,10,0.0,0.0,0.06,0.06,0.9,MS
3,10,0.0,0.0,0.1,0.1,0.9,HDy
3,10,0.0,0.0,0.07,0.07,0.9,DyS
3,10,0.0,0.0,0.08,0.08,0.9,SORD
3,10,0.0,0.0,0.19,0.19,0.9,SMM
4,10,0.0,0.0,0.3,0.3,0.7,CC
4,10,0.0,0.0,0.22,0.22,0.8,ACC
4,10,0.0,0.0,0.33,0.33,0.7,PCC
4,10,0.0,0.0,0.26,0.26,0.8,PACC
4,10,0.0,0.0,0.14,0.14,0.8,X
4,10,0.0,0.0,0.13,0.13,0.8,MAX
4,10,0.0,0.0,0.15,0.15,0.8,MS
4,10,0.0,0.0,0.1,0.1,0.9,HDy
4,10,0.0,0.0,0.06,0.06,1.0,DyS
4,10,0.0,0.0,0.13,0.13,0.8,SORD
4,10,0.0,0.0,0.26,0.26,0.8,SMM
5,10,0.0,0.0,0.1,0.1,0.9,CC
5,10,0.0,0.0,0.2,0.2,0.8,PCC
5,10,0.0,0.0,0.1,0.1,0.9,PACC
5,10,0.0,0.0,0.02,0.02,0.9,X
5,10,0.0,0.0,0.01,0.01,0.9,MAX
5,10,0.0,0.0,0.07,0.07,0.9,HDy
5,10,0.0,0.0,0.05,0.05,0.9,DyS
5,10,0.0,0.0,0.1,0.1,0.9,SMM
6,10,0.0,0.0,0.1,0.1,0.9,CC
6,10,0.0,0.0,0.17,0.17,0.8,PCC
6,10,0.0,0.0,0.07,0.07,1.0,PACC
6,10,0.0,0.0,0.01,0.01,1.0,MAX
6,10,0.0,0.0,0.04,0.04,1.0,HDy
6,10,0.0,0.0,0.03,0.03,1.0,DyS
6,10,0.0,0.0,0.06,0.06,1.0,SMM
7,10,0.0,0.0,0.2,0.2,0.8,CC
7,10,0.0,0.0,0.1,0.1,0.9,ACC
7,10,0.0,0.0,0.21,0.21,0.8,PCC
7,10,0.0,0.0,0.1,0.1,0.9,PACC
7,10,0.0,0.0,0.14,0.14,0.9,X
7,10,0.0,0.0,0.13,0.13,0.9,MAX
7,10,0.0,0.0,0.09,0.09,0.9,HDy
7,10,0.0,0.0,0.05,0.05,0.9,DyS
7,10,0.0,0.0,0.1,0.1,0.9,SMM
8,10,0.0,0.0,0.1,0.1,0.9,CC
8,10,0.0,0.0,0.19,0.19,0.8,PCC
8,10,0.0,0.0,0.08,0.08,0.9,PACC
8,10,0.0,0.0,0.07,0.07,0.9,HDy
8,10,0.0,0.0,0.04,0.04,0.9,DyS
8,10,0.0,0.0,0.08,0.08,0.9,SMM
