,sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
0,1,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
1,1,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.75
2,1,10,0.0,0.0,0.0,0.0,1.0,X,,0.75
3,1,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.75
4,1,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
5,1,10,0.0,0.0,0.0,0.0,1.0,MS,,0.75
6,1,10,0.0,0.0,0.01,0.01,1.0,HDy,,0.75
7,1,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.75
8,1,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.75
9,1,10,0.0,0.0,0.03,0.03,1.0,SMM,,0.75
10,2,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
11,2,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.88
12,2,10,0.0,0.0,0.0,0.0,1.0,X,,0.88
13,2,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.88
14,2,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
15,2,10,0.0,0.0,0.01,0.01,1.0,MS,,0.88
16,2,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.88
17,2,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.88
18,2,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.88
19,2,10,0.0,0.0,0.13,0.13,0.9,SMM,,0.5
20,3,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
21,3,10,0.0,0.0,0.12,0.12,0.9,ACC,,0.56
22,3,10,0.0,0.0,0.11,0.11,0.9,X,,0.56
23,3,10,0.0,0.0,0.11,0.11,0.9,MAX,,0.56
24,3,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
25,3,10,0.0,0.0,0.0,0.0,1.0,MS,,0.75
26,3,10,0.0,0.0,0.01,0.01,1.0,HDy,,0.75
27,3,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.75
28,3,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.75
29,3,10,0.0,0.0,0.07,0.07,0.9,SMM,,0.56
30,4,10,0.0,0.0,0.2,0.2,0.8,CC,,0.5
31,4,10,0.0,0.0,0.12,0.12,0.9,ACC,,0.77
32,4,10,0.0,0.0,0.24,0.24,0.8,X,,0.5
33,4,10,0.0,0.0,0.24,0.24,0.8,MAX,,0.5
34,4,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
35,4,10,0.0,0.0,0.15,0.15,0.8,MS,,0.5
36,4,10,0.0,0.0,0.03,0.03,1.0,HDy,,0.88
37,4,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.88
38,4,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.88
39,4,10,0.0,0.0,0.2,0.2,0.8,SMM,,0.5
40,5,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
41,5,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
42,5,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
43,5,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
44,5,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
45,5,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
46,5,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.5
47,5,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.5
48,5,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
49,5,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
50,6,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
51,6,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.75
52,6,10,0.0,0.0,0.11,0.11,0.9,X,,0.5
53,6,10,0.0,0.0,0.11,0.11,0.9,MAX,,0.5
54,6,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
55,6,10,0.0,0.0,0.0,0.0,1.0,MS,,0.75
56,6,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.75
57,6,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.75
58,6,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.75
59,6,10,0.0,0.0,0.05,0.05,0.9,SMM,,0.5
60,7,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
61,7,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.88
62,7,10,0.0,0.0,0.0,0.0,1.0,X,,0.88
63,7,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.88
64,7,10,0.0,0.0,0.0,0.0,1.0,T50,,0.88
65,7,10,0.0,0.0,0.05,0.05,0.9,MS,,0.5
66,7,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.88
67,7,10,0.0,0.0,0.02,0.02,1.0,DyS,,0.88
68,7,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.88
69,7,10,0.0,0.0,0.15,0.15,0.8,SMM,,0.35
70,8,10,0.0,0.0,0.0,0.0,1.0,CC,,0.5
71,8,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.5
72,8,10,0.0,0.0,0.0,0.0,1.0,X,,0.5
73,8,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.5
74,8,10,0.0,0.0,0.0,0.0,1.0,T50,,0.5
75,8,10,0.0,0.0,0.0,0.0,1.0,MS,,0.5
76,8,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.5
77,8,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.5
78,8,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.5
79,8,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
80,9,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
81,9,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.75
82,9,10,0.0,0.0,0.0,0.0,1.0,X,,0.75
83,9,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.75
84,9,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
